District,State,Accident_Date,Accident_Time,Weather_Condition,Road_Type,Vehicles_Involved,Casualties,Latitude,Longitude
Guwahati,Assam,2022-12-26,00:55:38,Stormy,Rural Road,2,7,13.817109,92.325645
Kolkata,West Bengal,2023-07-17,19:13:59,Clear,Urban Road,5,8,22.285863,77.040619
Tawang,Arunachal Pradesh,2021-12-18,15:30:42,Cloudy,Rural Road,2,10,10.043499,72.550717
New Delhi,Delhi,2021-09-13,15:48:32,Foggy,Rural Road,3,0,17.493414,94.636209
Ahmedabad,Gujarat,2021-07-04,10:50:55,Foggy,Highway,2,3,9.526436,93.812514
Itanagar,Arunachal Pradesh,2021-08-08,12:23:15,Foggy,Highway,1,6,32.365204,68.970871
Darjeeling,West Bengal,2022-10-09,19:22:26,Cloudy,Highway,5,6,8.461712,89.054925
Kolkata,West Bengal,2023-01-09,15:50:59,Rainy,Urban Road,1,9,26.77132,95.44255
Gaya,Bihar,2025-01-29,23:21:48,Cloudy,Rural Road,1,9,10.246968,96.158312
Patna,Bihar,2021-03-09,09:53:30,Cloudy,Urban Road,3,4,10.168232,84.21579
Palakkad,Kerala,2023-04-07,06:32:16,Stormy,Urban Road,4,9,10.655862,86.605567
Dibrugarh,Assam,2023-06-17,11:41:46,Rainy,Highway,2,1,15.633608,92.612319
Ludhiana,Punjab,2023-05-16,07:24:04,Rainy,Urban Road,5,3,36.817996,75.30541
Dibrugarh,Assam,2023-05-08,10:07:57,Rainy,Rural Road,2,3,22.785169,88.506443
Shimla,Himachal Pradesh,2025-02-08,15:17:17,Rainy,Highway,1,2,21.610152,92.608619
Gaya,Bihar,2021-08-04,09:45:07,Cloudy,Urban Road,3,4,26.822967,72.954188
Vijayawada,Andhra Pradesh,2022-11-09,22:48:46,Stormy,Highway,1,7,33.464727,69.397008
Kohima,Nagaland,2021-07-02,13:59:57,Rainy,Highway,5,1,25.597884,69.83752
Bengaluru,Karnataka,2022-12-07,22:52:21,Stormy,Highway,2,3,32.635264,88.174102
Bhilai,Chhattisgarh,2024-06-26,18:22:38,Foggy,Highway,5,2,27.548408,87.76962
Warangal,Telangana,2024-06-17,14:33:51,Cloudy,Rural Road,4,9,17.669848,89.853642
Bhilai,Chhattisgarh,2023-06-30,07:15:07,Foggy,Highway,2,7,29.867839,92.113811
Bhubaneswar,Odisha,2023-09-07,18:36:23,Clear,Urban Road,1,9,29.697529,93.633163
Bhopal,Madhya Pradesh,2024-04-06,13:24:26,Clear,Rural Road,4,6,31.379086,72.470786
Ludhiana,Punjab,2024-01-09,10:42:29,Foggy,Rural Road,5,2,23.536137,68.825286
Aizawl,Mizoram,2022-10-22,15:52:34,Rainy,Rural Road,5,3,15.07307,79.46892
Lucknow,Uttar Pradesh,2023-02-21,18:56:37,Cloudy,Urban Road,3,9,10.271485,91.880399
Kozhikode,Kerala,2022-04-09,15:57:16,Clear,Urban Road,4,5,10.681648,76.056683
Aizawl,Mizoram,2023-01-14,05:26:59,Cloudy,Rural Road,4,7,22.158396,74.07481
Dharamshala,Himachal Pradesh,2021-02-20,22:02:37,Foggy,Urban Road,3,7,30.139354,68.153753
Imphal,Manipur,2024-05-04,21:40:00,Stormy,Highway,5,5,15.18055,90.725442
Kohima,Nagaland,2023-11-11,21:34:38,Clear,Rural Road,5,3,16.984191,85.313941
Gurgaon,Haryana,2022-01-21,01:40:08,Stormy,Urban Road,3,2,10.992822,87.408341
Bhopal,Madhya Pradesh,2025-02-06,14:40:27,Clear,Highway,2,1,20.688143,73.691176
Dimapur,Nagaland,2023-06-25,21:23:47,Clear,Rural Road,2,5,8.321886,92.007735
Kolkata,West Bengal,2025-01-06,08:23:54,Clear,Rural Road,1,9,12.200938,69.983811
Itanagar,Arunachal Pradesh,2024-06-26,09:54:39,Stormy,Rural Road,3,0,26.257019,71.408607
Kolkata,West Bengal,2024-03-14,10:36:35,Stormy,Rural Road,2,5,22.834283,90.513559
New Delhi,Delhi,2024-01-14,00:06:32,Stormy,Rural Road,4,3,17.894001,73.664102
Tawang,Arunachal Pradesh,2024-01-05,13:13:54,Foggy,Highway,4,4,23.005349,70.635138
Varanasi,Uttar Pradesh,2021-10-19,11:42:10,Foggy,Highway,1,5,34.625423,78.099564
Muzaffarpur,Bihar,2024-10-24,23:06:07,Foggy,Highway,5,10,32.172289,94.539635
Faridabad,Haryana,2023-01-23,15:22:11,Cloudy,Rural Road,5,5,16.459176,87.918368
Madurai,Tamil Nadu,2022-11-13,05:06:20,Clear,Highway,4,10,9.097209,83.562558
Nellore,Andhra Pradesh,2024-09-22,17:58:51,Stormy,Rural Road,5,8,31.074021,84.626708
Shimla,Himachal Pradesh,2024-03-23,08:55:44,Cloudy,Urban Road,5,3,8.593004,69.569107
Gaya,Bihar,2022-09-10,17:54:15,Foggy,Rural Road,5,1,20.365038,85.118845
Aizawl,Mizoram,2021-05-20,20:22:38,Stormy,Rural Road,3,2,14.387436,79.387872
Chennai,Tamil Nadu,2024-02-05,04:34:39,Clear,Highway,5,3,9.293982,93.942277
New Delhi,Delhi,2024-01-12,15:00:58,Clear,Highway,1,3,30.758245,71.417825
Malappuram,Kerala,2024-04-11,02:02:35,Foggy,Urban Road,2,6,33.537389,81.235705
Shimla,Himachal Pradesh,2024-03-12,19:25:26,Cloudy,Urban Road,1,6,26.486138,71.904931
Dehradun,Uttarakhand,2023-01-31,04:05:53,Cloudy,Highway,3,5,11.027943,91.349906
Bhopal,Madhya Pradesh,2022-07-30,20:31:24,Foggy,Rural Road,3,3,31.477985,74.993733
Pathanamthitta,Kerala,2024-02-20,14:26:57,Cloudy,Urban Road,2,1,33.120172,94.162587
Panaji,Goa,2024-04-24,00:01:50,Clear,Rural Road,4,1,10.16362,85.257347
Dimapur,Nagaland,2021-06-23,00:42:49,Stormy,Urban Road,5,7,14.336574,77.482374
Varanasi,Uttar Pradesh,2024-07-25,20:17:08,Cloudy,Rural Road,2,7,34.906717,79.380193
Dibrugarh,Assam,2022-08-16,11:35:54,Stormy,Highway,3,9,25.487968,87.857821
Indore,Madhya Pradesh,2021-11-04,10:11:09,Cloudy,Highway,1,4,23.412871,95.843753
Coimbatore,Tamil Nadu,2022-03-10,03:11:34,Cloudy,Rural Road,2,9,24.137472,73.405981
Raipur,Chhattisgarh,2023-09-20,19:01:19,Cloudy,Urban Road,1,1,31.816699,88.124325
Chennai,Tamil Nadu,2024-01-09,08:43:08,Rainy,Rural Road,2,8,35.379012,93.49594
Madurai,Tamil Nadu,2023-07-05,22:11:58,Clear,Rural Road,2,8,18.002334,87.439307
Bhilai,Chhattisgarh,2024-07-16,09:58:03,Foggy,Highway,4,6,31.271021,94.493142
Raipur,Chhattisgarh,2021-06-26,06:52:11,Rainy,Urban Road,3,3,33.654056,92.765057
Agartala,Tripura,2024-05-14,20:25:21,Rainy,Highway,5,1,24.601934,80.940321
Agartala,Tripura,2021-06-30,07:49:10,Rainy,Rural Road,2,2,16.751238,75.413999
